rxn_ind,file,force_rms_Ha_per_Bohr,is_ts,neg_count
rxn10032,rxn10032_ts_opt.xyz,0.0017963949512264273,True,1
rxn10054,rxn10054_ts_opt.xyz,0.00280442160419208,True,1
rxn1024,rxn1024_ts_opt.xyz,0.0007202742853261489,True,1
rxn1041,rxn1041_ts_opt.xyz,0.0018111519745357956,True,1
rxn1050,rxn1050_ts_opt.xyz,0.003330387122678403,True,1
rxn1058,rxn1058_ts_opt.xyz,0.005297087228285925,True,1
rxn1204,rxn1204_ts_opt.xyz,0.0010276762408619729,True,1
rxn1208,rxn1208_ts_opt.xyz,0.001149369468347409,True,1
rxn1214,rxn1214_ts_opt.xyz,0.001909247522510219,True,1
rxn1216,rxn1216_ts_opt.xyz,0.0026049447172019177,True,1
